location_id,country,city,latitude,longitude,facility
LOC-000001,France,North Judithbury,42.7167,4.3038,Branch Office
LOC-000002,Germany,East Jill,47.5611,6.4765,Cloud Environment (AWS)
LOC-000003,Canada,New Roberttown,55.3496,-111.0488,Branch Office
LOC-000004,Germany,East Jessetown,51.2193,5.7169,Branch Office
LOC-000005,South Korea,Lake Debra,37.4066,128.2163,Branch Office
LOC-000006,Brazil,Robinsonshire,-13.3423,-48.831,HQ Data Center
LOC-000007,Netherlands,Lisatown,55.1908,7.2727,Regional Data Center
LOC-000008,Singapore,Lake Roberto,-2.0931,108.3919,Regional Data Center
LOC-000009,USA,Ericmouth,33.0177,-99.7457,Regional Data Center
LOC-000010,Canada,North Noahstad,53.7756,-110.9123,Employee Home Network
LOC-000011,UAE,Cassandraton,19.6724,58.0708,Cloud Environment (AWS)
LOC-000012,UAE,Herrerafurt,21.3559,55.1342,Regional Data Center
LOC-000013,Canada,New Kellystad,53.0533,-110.6512,Branch Office
LOC-000014,Netherlands,Lake Chad,50.0265,1.0892,Branch Office
LOC-000015,South Africa,Port Keith,-34.5495,20.7172,Regional Data Center
LOC-000016,UK,Port Jesseville,54.0799,-6.3409,Remote/VPN Access Point
LOC-000017,South Korea,Ramirezstad,40.2743,129.2473,Cloud Environment (Azure)
LOC-000018,UAE,West Michael,25.7154,50.4818,Colocation Facility
LOC-000019,Singapore,Jacquelineland,6.2473,105.2198,Branch Office
LOC-000020,France,New Jessica,44.8462,4.5714,HQ Data Center
LOC-000021,Germany,South Noah,54.3837,13.502,Colocation Facility
LOC-000022,Singapore,Lake Mark,-2.986,107.9512,Regional Data Center
LOC-000023,Germany,East Lydiamouth,52.7201,9.4078,Employee Home Network
LOC-000024,UK,Adamsborough,53.0269,-5.9697,Remote/VPN Access Point
LOC-000025,South Korea,Jasonfort,36.7537,131.7451,Colocation Facility
LOC-000026,Australia,Wilkersonmouth,-28.0812,138.7505,Employee Home Network
LOC-000027,USA,West Donald,39.648,-92.1019,Cloud Environment (Azure)
LOC-000028,France,Juliechester,43.2032,3.6931,Cloud Environment (AWS)
LOC-000029,Japan,Coxberg,35.021,143.2141,Remote/VPN Access Point
LOC-000030,UAE,Daviston,27.0319,48.9626,Cloud Environment (AWS)
LOC-000031,France,East Courtneychester,50.4513,4.3971,Regional Data Center
LOC-000032,USA,South Patrickmouth,35.0252,-99.1313,HQ Data Center
LOC-000033,South Korea,Tashatown,39.6663,125.4008,Cloud Environment (Azure)
LOC-000034,UAE,Lake Nicoleview,27.5504,57.553,Remote/VPN Access Point
LOC-000035,South Africa,Danielchester,-29.17,24.0272,Cloud Environment (Azure)
LOC-000036,Australia,South Aaron,-22.6493,134.1689,HQ Data Center
LOC-000037,Canada,Teresaburgh,54.372,-111.152,Regional Data Center
LOC-000038,Mexico,Port Colleenhaven,28.4877,-99.4851,Branch Office
LOC-000039,India,East Nathaniel,18.0024,79.6365,Cloud Environment (AWS)
LOC-000040,USA,New Stephanie,39.4093,-92.5527,Cloud Environment (Azure)
LOC-000041,UK,New Mariotown,56.9756,1.0325,Cloud Environment (Azure)
LOC-000042,Singapore,West Natashaport,1.6288,104.8857,Branch Office
LOC-000043,Mexico,North John,24.0275,-100.2535,Branch Office
LOC-000044,South Korea,North Jessicaland,34.025,132.7184,Regional Data Center
LOC-000045,Brazil,East Donna,-10.2389,-52.4104,Branch Office
LOC-000046,Germany,West Allison,46.806,5.6618,Branch Office
LOC-000047,Canada,Brandtside,53.3326,-110.6369,HQ Data Center
LOC-000048,Germany,Lake Larry,46.8397,5.7656,Regional Data Center
LOC-000049,USA,Samuelhaven,37.2318,-97.9281,Employee Home Network
LOC-000050,Germany,Martinezbury,51.558,12.685,Employee Home Network
LOC-000051,Germany,West Andrewside,54.0119,13.5265,Branch Office
LOC-000052,USA,New Jeffrey,33.0595,-96.4024,Colocation Facility
LOC-000053,Japan,Lake Crystalbury,35.875,140.5437,Cloud Environment (AWS)
LOC-000054,India,North Micheleland,19.6199,77.3559,Cloud Environment (AWS)
LOC-000055,Germany,West Elizabeth,48.0816,10.8144,Cloud Environment (Azure)
LOC-000056,Japan,New David,33.0397,137.8792,Cloud Environment (AWS)
LOC-000057,Brazil,Sanchezfort,-11.1548,-48.3656,Cloud Environment (AWS)
LOC-000058,India,Leeville,22.1151,79.3688,HQ Data Center
LOC-000059,USA,Gomezchester,41.3539,-92.2259,Cloud Environment (Azure)
LOC-000060,Japan,Shieldston,36.0612,135.3904,Colocation Facility
LOC-000061,Mexico,North Richardmouth,19.2209,-103.7631,Colocation Facility
LOC-000062,Singapore,East Jamesside,5.6173,106.6711,Remote/VPN Access Point
LOC-000063,Japan,Taylorburgh,38.1707,140.558,Employee Home Network
LOC-000064,UK,Stevenland,52.2771,-6.259,HQ Data Center
LOC-000065,Canada,Mortonside,58.4878,-110.7372,Regional Data Center
LOC-000066,India,North Deniseside,16.0951,78.7308,Cloud Environment (Azure)
LOC-000067,India,North Sarabury,25.2015,74.764,Cloud Environment (Azure)
LOC-000068,USA,South Todd,38.0406,-93.9608,Branch Office
LOC-000069,Japan,Port Richard,32.4037,142.1558,Branch Office
LOC-000070,Canada,East Nicholasfurt,57.0756,-105.153,Colocation Facility
LOC-000071,France,Saramouth,47.4401,2.1161,Remote/VPN Access Point
LOC-000072,Germany,Rodneyside,52.863,8.5933,Remote/VPN Access Point
LOC-000073,Japan,Mooreport,32.5136,139.7079,Employee Home Network
LOC-000074,Australia,North Beth,-20.9842,138.1324,HQ Data Center
LOC-000075,Brazil,Lake Leeton,-13.0234,-51.2954,Cloud Environment (AWS)
LOC-000076,USA,Shawhaven,37.4665,-95.6541,Cloud Environment (Azure)
LOC-000077,Mexico,North Susan,22.1246,-106.8649,Branch Office
LOC-000078,Australia,Port Jacobland,-27.4245,133.1569,Remote/VPN Access Point
LOC-000079,Canada,South David,60.9689,-103.2758,HQ Data Center
LOC-000080,France,New Brooke,49.7744,-0.1179,Cloud Environment (AWS)
LOC-000081,Mexico,South Dianeshire,19.9774,-106.3985,Cloud Environment (AWS)
LOC-000082,South Korea,Sarahborough,36.44,125.4904,Branch Office
LOC-000083,South Korea,Johnfurt,34.3366,129.6419,Remote/VPN Access Point
LOC-000084,UAE,Lake Debbie,23.3094,57.9012,HQ Data Center
LOC-000085,USA,Stewartland,38.433,-92.4194,HQ Data Center
LOC-000086,India,South Christineshire,18.9293,75.2711,Remote/VPN Access Point
LOC-000087,UK,North Amandahaven,57.7904,-2.9192,Colocation Facility
LOC-000088,UAE,Davidstad,18.5208,49.6002,Cloud Environment (Azure)
LOC-000089,UAE,East Mikeburgh,18.7844,52.54,Cloud Environment (Azure)
LOC-000090,Japan,Bassport,32.4793,136.3355,HQ Data Center
LOC-000091,Mexico,Lake Lisaport,22.2126,-100.7321,Cloud Environment (AWS)
LOC-000092,Australia,East Josephville,-22.4732,137.6164,Colocation Facility
LOC-000093,Canada,West Juan,58.6252,-102.0892,Branch Office
LOC-000094,South Africa,Lake Matthew,-33.9345,25.9364,Cloud Environment (Azure)
LOC-000095,Mexico,Williamview,22.7574,-105.7592,Regional Data Center
LOC-000096,Netherlands,North Cynthiaview,56.4408,8.3137,Branch Office
LOC-000097,Singapore,North Matthewberg,-2.0559,105.8326,Colocation Facility
LOC-000098,South Africa,Evanmouth,-35.1723,22.6444,Branch Office
LOC-000099,South Africa,Hoffmanville,-26.375,21.4341,Branch Office
LOC-000100,Germany,Lake Rebeccaside,46.4023,7.3828,Regional Data Center
LOC-000101,Singapore,Port Mikeside,4.9956,108.4887,Remote/VPN Access Point
LOC-000102,Australia,South David,-23.8596,132.7719,Regional Data Center
LOC-000103,India,Michaelton,16.7471,83.6669,Cloud Environment (Azure)
LOC-000104,Canada,Jasonbury,60.7557,-108.6921,Cloud Environment (AWS)
LOC-000105,Canada,West Kimberlychester,55.476,-104.0613,Regional Data Center
LOC-000106,Japan,East Michelle,37.2669,138.3671,Colocation Facility
LOC-000107,Mexico,South Angel,24.4004,-105.0056,Colocation Facility
LOC-000108,India,Kimberlychester,20.7929,82.028,Branch Office
LOC-000109,Australia,West Erik,-25.9614,138.2638,Regional Data Center
LOC-000110,Canada,South Monicafort,54.2696,-102.8666,Remote/VPN Access Point
LOC-000111,UAE,East Lisa,21.5169,52.9317,Colocation Facility
LOC-000112,South Korea,Baileybury,33.8644,124.0398,Colocation Facility
LOC-000113,France,North Donna,51.007,3.6615,Cloud Environment (Azure)
LOC-000114,Canada,Murphyland,56.8215,-107.286,HQ Data Center
LOC-000115,Singapore,Michaelhaven,-0.7788,103.1187,Regional Data Center
LOC-000116,Brazil,Frazierside,-14.8171,-50.169,Employee Home Network
LOC-000117,Netherlands,Sheilaville,56.1444,8.2515,Cloud Environment (Azure)
LOC-000118,France,Gregoryview,42.4514,2.0428,Regional Data Center
LOC-000119,USA,North Candacestad,40.2744,-93.2015,Remote/VPN Access Point
LOC-000120,Germany,Samuelhaven,54.2313,6.925,HQ Data Center
LOC-000121,Germany,South Rachelborough,56.0051,11.5642,Cloud Environment (AWS)
LOC-000122,Brazil,Bradleychester,-15.0906,-50.6276,Branch Office
LOC-000123,South Korea,New Saraside,37.8713,127.7107,Branch Office
LOC-000124,UK,West Ryan,56.9387,-8.3806,Cloud Environment (AWS)
LOC-000125,Netherlands,Cindyville,51.3841,2.0502,Employee Home Network
LOC-000126,India,Williamchester,21.1678,83.1376,Cloud Environment (AWS)
LOC-000127,Brazil,Richardport,-17.9016,-52.2789,Regional Data Center
LOC-000128,Netherlands,East Robert,56.0469,6.4178,Colocation Facility
LOC-000129,South Africa,Byrdburgh,-26.491,22.3966,Cloud Environment (Azure)
LOC-000130,South Korea,Richardtown,39.5227,127.2676,Branch Office
LOC-000131,South Africa,Justinchester,-29.1829,25.5956,Employee Home Network
LOC-000132,France,Stevenmouth,43.9959,1.287,Remote/VPN Access Point
LOC-000133,Germany,New Thomas,48.8829,8.6486,Cloud Environment (AWS)
LOC-000134,UK,Lake Christopher,51.8864,-4.6056,Cloud Environment (Azure)
LOC-000135,South Korea,Clarencebury,33.0473,126.9156,Regional Data Center
